entity_type,canonical_label,ontology,code,ontology_label
Symptom,abdominal pain,SNOMED_CT,21522001,Abdominal pain
Symptom,nausea,SNOMED_CT,422587007,Nausea
Symptom,fever,SNOMED_CT,386661006,Fever
Symptom,jaundice,SNOMED_CT,18165001,Jaundice
Exam,computed tomography,LOINC,LP29708-2,CT imaging study
Exam,serum lipase,LOINC,3040-3,Lipase [Enzymatic activity/volume] in Serum or Plasma
Exam,c-reactive protein,LOINC,1988-5,C reactive protein [Mass/volume] in Serum or Plasma
Diagnosis,acute pancreatitis,ICD10,K85.9,Acute pancreatitis
Diagnosis,chronic pancreatitis,ICD10,K86.1,Other chronic pancreatitis
Diagnosis,diabetes mellitus,ICD10,E11,Type 2 diabetes mellitus
Diagnosis,hypertension,ICD10,I10,Essential (primary) hypertension
Diagnosis,pancreatic pseudocyst,ICD10,K86.3,Pseudocyst of pancreas
Diagnosis,gastric outlet obstruction,MeSH,D015431,Gastric Outlet Obstruction
Symptom,"abdomen, acute",MeSH,D000006,"Abdomen, Acute"
Symptom,abnormal karyotype,MeSH,D059786,Abnormal Karyotype
Symptom,abscess,MeSH,D000038,Abscess
Symptom,acantholysis,MeSH,D000051,Acantholysis
Symptom,accelerated idioventricular rhythm,MeSH,D016170,Accelerated Idioventricular Rhythm
Symptom,accessory atrioventricular bundle,MeSH,D058606,Accessory Atrioventricular Bundle
Symptom,acute disease,MeSH,D000208,Acute Disease
Symptom,acute pain,MeSH,D059787,Acute Pain
Symptom,acute-phase reaction,MeSH,D000210,Acute-Phase Reaction
Symptom,adams-stokes syndrome,MeSH,D000219,Adams-Stokes Syndrome
Symptom,adenocarcinoma in situ,MeSH,D065311,Adenocarcinoma in Situ
Symptom,aerophagy,MeSH,D000334,Aerophagy
Symptom,afferent loop syndrome,MeSH,D000343,Afferent Loop Syndrome
Symptom,agenesis of corpus callosum,MeSH,D061085,Agenesis of Corpus Callosum
Symptom,ageusia,MeSH,D000370,Ageusia
Symptom,"aging, premature",MeSH,D019588,"Aging, Premature"
Symptom,agnosia,MeSH,D000377,Agnosia
Symptom,agraphia,MeSH,D000381,Agraphia
Symptom,airway remodeling,MeSH,D056151,Airway Remodeling
Symptom,"akathisia, drug-induced",MeSH,D017109,"Akathisia, Drug-Induced"
Symptom,albuminuria,MeSH,D000419,Albuminuria
Symptom,alcohol withdrawal seizures,MeSH,D020270,Alcohol Withdrawal Seizures
Symptom,alcoholic korsakoff syndrome,MeSH,D000076042,Alcoholic Korsakoff Syndrome
Symptom,"alert fatigue, health personnel",MeSH,D000071064,"Alert Fatigue, Health Personnel"
Symptom,"alexia, pure",MeSH,D020237,"Alexia, Pure"
Symptom,alice in wonderland syndrome,MeSH,D062026,Alice in Wonderland Syndrome
Symptom,alien limb phenomenon,MeSH,D055964,Alien Limb Phenomenon
Symptom,allesthesia,MeSH,D066190,Allesthesia
Symptom,alopecia,MeSH,D000505,Alopecia
Symptom,amaurosis fugax,MeSH,D020757,Amaurosis Fugax
Symptom,amblyopia,MeSH,D000550,Amblyopia
Symptom,ambulatory care sensitive conditions,MeSH,D000090004,Ambulatory Care Sensitive Conditions
Symptom,amenorrhea,MeSH,D000568,Amenorrhea
Symptom,amnesia,MeSH,D000647,Amnesia
Symptom,"amnesia, anterograde",MeSH,D020324,"Amnesia, Anterograde"
Symptom,"amnesia, retrograde",MeSH,D000648,"Amnesia, Retrograde"
Symptom,"amnesia, transient global",MeSH,D020236,"Amnesia, Transient Global"
Symptom,anaplasia,MeSH,D000708,Anaplasia
Symptom,anastomotic leak,MeSH,D057868,Anastomotic Leak
Symptom,andersen syndrome,MeSH,D050030,Andersen Syndrome
Symptom,aneuploidy,MeSH,D000782,Aneuploidy
Symptom,angina pectoris,MeSH,D000787,Angina Pectoris
Symptom,"angina pectoris, variant",MeSH,D000788,"Angina Pectoris, Variant"
Symptom,"angina, stable",MeSH,D060050,"Angina, Stable"
Symptom,"angina, unstable",MeSH,D000789,"Angina, Unstable"
Symptom,anhedonia,MeSH,D059445,Anhedonia
Symptom,anisocoria,MeSH,D015875,Anisocoria
Symptom,anomia,MeSH,D000849,Anomia
Symptom,anorexia,MeSH,D000855,Anorexia
Symptom,anosmia,MeSH,D000086582,Anosmia
Symptom,anterior wall myocardial infarction,MeSH,D056988,Anterior Wall Myocardial Infarction
Symptom,"anticipation, genetic",MeSH,D020132,"Anticipation, Genetic"
Symptom,aortic intramural hematoma,MeSH,D000094666,Aortic Intramural Hematoma
Symptom,aphasia,MeSH,D001037,Aphasia
Symptom,"aphasia, broca",MeSH,D001039,"Aphasia, Broca"
Symptom,"aphasia, conduction",MeSH,D018886,"Aphasia, Conduction"
Symptom,"aphasia, primary progressive",MeSH,D018888,"Aphasia, Primary Progressive"
Symptom,"aphasia, wernicke",MeSH,D001041,"Aphasia, Wernicke"
Symptom,aphonia,MeSH,D001044,Aphonia
Symptom,apnea,MeSH,D001049,Apnea
Symptom,"apraxia, ideomotor",MeSH,D020240,"Apraxia, Ideomotor"
Symptom,apraxias,MeSH,D001072,Apraxias
Symptom,"arrhythmia, sinus",MeSH,D001146,"Arrhythmia, Sinus"
Symptom,"arrhythmias, cardiac",MeSH,D001145,"Arrhythmias, Cardiac"
Symptom,arterio-arterial fistula,MeSH,D001159,Arterio-Arterial Fistula
Symptom,arteriovenous fistula,MeSH,D001164,Arteriovenous Fistula
Symptom,arthralgia,MeSH,D018771,Arthralgia
Symptom,"arthritis, reactive",MeSH,D016918,"Arthritis, Reactive"
Symptom,articulation disorders,MeSH,D001184,Articulation Disorders
Symptom,ascites,MeSH,D001201,Ascites
Symptom,asphyxia,MeSH,D001237,Asphyxia
Symptom,asthenia,MeSH,D001247,Asthenia
Symptom,asthma-chronic obstructive pulmonary disease overlap syndrome,MeSH,D000080445,Asthma-Chronic Obstructive Pulmonary Disease Overlap Syndrome
Symptom,asymptomatic diseases,MeSH,D058070,Asymptomatic Diseases
Symptom,asymptomatic infections,MeSH,D058345,Asymptomatic Infections
Symptom,ataxia,MeSH,D001259,Ataxia
Symptom,athetosis,MeSH,D001264,Athetosis
Symptom,atrial fibrillation,MeSH,D001281,Atrial Fibrillation
Symptom,atrial flutter,MeSH,D001282,Atrial Flutter
Symptom,atrial premature complexes,MeSH,D018880,Atrial Premature Complexes
Symptom,atrial remodeling,MeSH,D064752,Atrial Remodeling
Symptom,atrioventricular block,MeSH,D054537,Atrioventricular Block
Symptom,atrophy,MeSH,D001284,Atrophy
Symptom,atypical squamous cells of the cervix,MeSH,D065309,Atypical Squamous Cells of the Cervix
Symptom,auditory perceptual disorders,MeSH,D001308,Auditory Perceptual Disorders
Symptom,autoimmune pancreatitis,MeSH,D000081012,Autoimmune Pancreatitis
Symptom,autolysis,MeSH,D001329,Autolysis
Symptom,azotemia,MeSH,D053099,Azotemia
Symptom,back pain,MeSH,D001416,Back Pain
Symptom,bacteremia,MeSH,D016470,Bacteremia
Symptom,basal ganglia hemorrhage,MeSH,D020145,Basal Ganglia Hemorrhage
Symptom,benign paroxysmal positional vertigo,MeSH,D065635,Benign Paroxysmal Positional Vertigo
Symptom,bilateral vestibulopathy,MeSH,D000071699,Bilateral Vestibulopathy
Symptom,biliary fistula,MeSH,D001658,Biliary Fistula
Symptom,birth weight,MeSH,D001724,Birth Weight
Symptom,bisphosphonate-associated osteonecrosis of the jaw,MeSH,D059266,Bisphosphonate-Associated Osteonecrosis of the Jaw
Symptom,bland white garland syndrome,MeSH,D063748,Bland White Garland Syndrome
Symptom,blast crisis,MeSH,D001752,Blast Crisis
Symptom,blindness,MeSH,D001766,Blindness
Symptom,"blindness, cortical",MeSH,D019575,"Blindness, Cortical"
Symptom,blister,MeSH,D001768,Blister
Symptom,"blood loss, surgical",MeSH,D016063,"Blood Loss, Surgical"
Symptom,blood-borne infections,MeSH,D000086982,Blood-Borne Infections
Symptom,body odor,MeSH,D000089083,Body Odor
Symptom,body remains,MeSH,D000071298,Body Remains
Symptom,body temperature changes,MeSH,D001832,Body Temperature Changes
Symptom,body weight,MeSH,D001835,Body Weight
Symptom,body weight changes,MeSH,D001836,Body Weight Changes
Symptom,body-weight trajectory,MeSH,D000077962,Body-Weight Trajectory
Symptom,bone anteversion,MeSH,D060750,Bone Anteversion
Symptom,bone retroversion,MeSH,D060751,Bone Retroversion
Symptom,bradycardia,MeSH,D001919,Bradycardia
Symptom,"brain damage, chronic",MeSH,D001925,"Brain Damage, Chronic"
Symptom,brain death,MeSH,D001926,Brain Death
Symptom,brain infarction,MeSH,D020520,Brain Infarction
Symptom,"brain injury, chronic",MeSH,D020208,"Brain Injury, Chronic"
Symptom,brain stem infarctions,MeSH,D020526,Brain Stem Infarctions
Symptom,breakthrough infections,MeSH,D000093742,Breakthrough Infections
Symptom,breakthrough pain,MeSH,D059390,Breakthrough Pain
Symptom,breast cancer lymphedema,MeSH,D000072656,Breast Cancer Lymphedema
Symptom,"brief, resolved, unexplained event",MeSH,D057768,"Brief, Resolved, Unexplained Event"
Symptom,bronchial fistula,MeSH,D001983,Bronchial Fistula
Symptom,"bronchitis, chronic",MeSH,D029481,"Bronchitis, Chronic"
Symptom,brown-sequard syndrome,MeSH,D018437,Brown-Sequard Syndrome
Symptom,bulimia,MeSH,D002032,Bulimia
Symptom,bundle-branch block,MeSH,D002037,Bundle-Branch Block
Symptom,buschke-lowenstein tumor,MeSH,D062688,Buschke-Lowenstein Tumor
Symptom,cadasil,MeSH,D046589,CADASIL
Symptom,charge syndrome,MeSH,D058747,CHARGE Syndrome
Symptom,cachexia,MeSH,D002100,Cachexia
Symptom,cadaver,MeSH,D002102,Cadaver
Symptom,cafe-au-lait spots,MeSH,D019080,Cafe-au-Lait Spots
Symptom,calculi,MeSH,D002137,Calculi
Symptom,cancer pain,MeSH,D000072716,Cancer Pain
Symptom,candidemia,MeSH,D058387,Candidemia
Symptom,"candidiasis, chronic mucocutaneous",MeSH,D002178,"Candidiasis, Chronic Mucocutaneous"
Symptom,carcinogenesis,MeSH,D063646,Carcinogenesis
Symptom,"cardiac complexes, premature",MeSH,D005117,"Cardiac Complexes, Premature"
Symptom,"cardiac output, high",MeSH,D016534,"Cardiac Output, High"
Symptom,"cardiac output, low",MeSH,D002303,"Cardiac Output, Low"
Symptom,cardiomegaly,MeSH,D006332,Cardiomegaly
Symptom,cardiotoxicity,MeSH,D066126,Cardiotoxicity
Symptom,carotid-cavernous sinus fistula,MeSH,D020216,Carotid-Cavernous Sinus Fistula
Symptom,catalepsy,MeSH,D002375,Catalepsy
Symptom,catastrophic illness,MeSH,D002388,Catastrophic Illness
Symptom,catatonia,MeSH,D002389,Catatonia
Symptom,"cell transformation, neoplastic",MeSH,D002471,"Cell Transformation, Neoplastic"
Symptom,"cell transformation, viral",MeSH,D002472,"Cell Transformation, Viral"
Symptom,cellulite,MeSH,D000071697,Cellulite
Symptom,cellulitis,MeSH,D002481,Cellulitis
Symptom,cerebellar ataxia,MeSH,D002524,Cerebellar Ataxia
Symptom,cerebral cortical thinning,MeSH,D000082643,Cerebral Cortical Thinning
Symptom,cerebral hemorrhage,MeSH,D002543,Cerebral Hemorrhage
Symptom,cerebral infarction,MeSH,D002544,Cerebral Infarction
Symptom,cerebral intraventricular hemorrhage,MeSH,D000074042,Cerebral Intraventricular Hemorrhage
Symptom,cerebrospinal fluid leak,MeSH,D065634,Cerebrospinal Fluid Leak
Symptom,cerebrospinal fluid otorrhea,MeSH,D002558,Cerebrospinal Fluid Otorrhea
Symptom,cerebrospinal fluid rhinorrhea,MeSH,D002559,Cerebrospinal Fluid Rhinorrhea
Symptom,cervical dizziness,MeSH,D000099106,Cervical Dizziness
Symptom,channelopathies,MeSH,D053447,Channelopathies
Symptom,charles bonnet syndrome,MeSH,D000075562,Charles Bonnet Syndrome
Symptom,"chemical and drug induced liver injury, chronic",MeSH,D056487,"Chemical and Drug Induced Liver Injury, Chronic"
Symptom,chest pain,MeSH,D002637,Chest Pain
Symptom,cheyne-stokes respiration,MeSH,D002639,Cheyne-Stokes Respiration
Symptom,chills,MeSH,D023341,Chills
Symptom,chorea,MeSH,D002819,Chorea
Symptom,choristoma,MeSH,D002828,Choristoma
Symptom,choroid hemorrhage,MeSH,D002832,Choroid Hemorrhage
Symptom,choroidal neovascularization,MeSH,D020256,Choroidal Neovascularization
Symptom,chromosomal instability,MeSH,D043171,Chromosomal Instability
Symptom,chromosome aberrations,MeSH,D002869,Chromosome Aberrations
Symptom,chromosome breakage,MeSH,D019457,Chromosome Breakage
Symptom,chromosome deletion,MeSH,D002872,Chromosome Deletion
Symptom,chromosome duplication,MeSH,D058674,Chromosome Duplication
Symptom,chromosome fragility,MeSH,D002873,Chromosome Fragility
Symptom,chromosome inversion,MeSH,D007446,Chromosome Inversion
Symptom,chromothripsis,MeSH,D000072837,Chromothripsis
Symptom,chronic cough,MeSH,D000096822,Chronic Cough
Symptom,chronic disease,MeSH,D002908,Chronic Disease
Symptom,chronic exertional compartment syndrome,MeSH,D000083182,Chronic Exertional Compartment Syndrome
Symptom,chronic inducible urticaria,MeSH,D000094482,Chronic Inducible Urticaria
Symptom,chronic kidney disease-mineral and bone disorder,MeSH,D012080,Chronic Kidney Disease-Mineral and Bone Disorder
Symptom,chronic kidney diseases of uncertain etiology,MeSH,D000092702,Chronic Kidney Diseases of Uncertain Etiology
Symptom,chronic limb-threatening ischemia,MeSH,D000089802,Chronic Limb-Threatening Ischemia
Symptom,chronic pain,MeSH,D059350,Chronic Pain
Symptom,chronic periodontitis,MeSH,D055113,Chronic Periodontitis
Symptom,chronic traumatic encephalopathy,MeSH,D000070627,Chronic Traumatic Encephalopathy
Symptom,chronic urticaria,MeSH,D000080223,Chronic Urticaria
Symptom,cicatrix,MeSH,D002921,Cicatrix
Symptom,"cicatrix, hypertrophic",MeSH,D017439,"Cicatrix, Hypertrophic"
Symptom,clinical deterioration,MeSH,D000075902,Clinical Deterioration
Symptom,cocarcinogenesis,MeSH,D003043,Cocarcinogenesis
Symptom,colonic polyps,MeSH,D003111,Colonic Polyps
Symptom,color vision defects,MeSH,D003117,Color Vision Defects
Symptom,coma,MeSH,D003128,Coma
Symptom,communicable diseases,MeSH,D003141,Communicable Diseases
Symptom,"communicable diseases, emerging",MeSH,D021821,"Communicable Diseases, Emerging"
Symptom,"communicable diseases, imported",MeSH,D000076263,"Communicable Diseases, Imported"
Symptom,communication disorders,MeSH,D003147,Communication Disorders
Symptom,compassion fatigue,MeSH,D000068376,Compassion Fatigue
Symptom,condylomata acuminata,MeSH,D003218,Condylomata Acuminata
Symptom,confusion,MeSH,D003221,Confusion
Symptom,consciousness disorders,MeSH,D003244,Consciousness Disorders
Symptom,constipation,MeSH,D003248,Constipation
Symptom,"constriction, pathologic",MeSH,D003251,"Constriction, Pathologic"
Symptom,convalescence,MeSH,D003289,Convalescence
Symptom,corneal endothelial cell loss,MeSH,D055954,Corneal Endothelial Cell Loss
Symptom,corneal neovascularization,MeSH,D016510,Corneal Neovascularization
Symptom,coronary-subclavian steal syndrome,MeSH,D058686,Coronary-Subclavian Steal Syndrome
Symptom,corpse dismemberment,MeSH,D056146,Corpse Dismemberment
Symptom,cough,MeSH,D003371,Cough
Symptom,coxa valga,MeSH,D060906,Coxa Valga
Symptom,coxa vara,MeSH,D060905,Coxa Vara
Symptom,critical illness,MeSH,D016638,Critical Illness
Symptom,cronkhite-canada syndrome,MeSH,D000098858,Cronkhite-Canada Syndrome
Symptom,cross infection,MeSH,D003428,Cross Infection
Symptom,cryopyrin-associated periodic syndromes,MeSH,D056587,Cryopyrin-Associated Periodic Syndromes
Symptom,crystalluria,MeSH,D000092162,Crystalluria
Symptom,cutaneous fistula,MeSH,D017577,Cutaneous Fistula
Symptom,cyanosis,MeSH,D003490,Cyanosis
Symptom,cystocele,MeSH,D052858,Cystocele
Symptom,cysts,MeSH,D003560,Cysts
Symptom,cytokine release syndrome,MeSH,D000080424,Cytokine Release Syndrome
Symptom,"dna degradation, necrotic",MeSH,D053836,"DNA Degradation, Necrotic"
Symptom,deaf-blind disorders,MeSH,D054062,Deaf-Blind Disorders
Symptom,deafness,MeSH,D003638,Deafness
Symptom,death,MeSH,D003643,Death
Symptom,"death, sudden",MeSH,D003645,"Death, Sudden"
Symptom,"death, sudden, cardiac",MeSH,D016757,"Death, Sudden, Cardiac"
Symptom,decerebrate state,MeSH,D003655,Decerebrate State
Symptom,dehydration,MeSH,D003681,Dehydration
Symptom,delayed emergence from anesthesia,MeSH,D055191,Delayed Emergence from Anesthesia
Symptom,delayed graft function,MeSH,D051799,Delayed Graft Function
Symptom,delirium,MeSH,D003693,Delirium
Symptom,"dementia, multi-infarct",MeSH,D015161,"Dementia, Multi-Infarct"
Symptom,dental calculus,MeSH,D003728,Dental Calculus
Symptom,dental fistula,MeSH,D003751,Dental Fistula
Symptom,dental pulp necrosis,MeSH,D003790,Dental Pulp Necrosis
Symptom,diabesity,MeSH,D000099074,Diabesity
Symptom,diarrhea,MeSH,D003967,Diarrhea
Symptom,"diarrhea, infantile",MeSH,D003968,"Diarrhea, Infantile"
Symptom,digestive system fistula,MeSH,D016154,Digestive System Fistula
Symptom,"dilatation, pathologic",MeSH,D004108,"Dilatation, Pathologic"
Symptom,diplopia,MeSH,D004172,Diplopia
Symptom,disease,MeSH,D004194,Disease
Symptom,disease attributes,MeSH,D020969,Disease Attributes
Symptom,disease progression,MeSH,D018450,Disease Progression
Symptom,disease resistance,MeSH,D060467,Disease Resistance
Symptom,disease susceptibility,MeSH,D004198,Disease Susceptibility
Symptom,diseases in twins,MeSH,D004200,Diseases in Twins
Symptom,diverticulum,MeSH,D004240,Diverticulum
Symptom,"diverticulum, colon",MeSH,D004241,"Diverticulum, Colon"
Symptom,"diverticulum, esophageal",MeSH,D004936,"Diverticulum, Esophageal"
Symptom,"diverticulum, stomach",MeSH,D013273,"Diverticulum, Stomach"
Symptom,dizziness,MeSH,D004244,Dizziness
Symptom,dropped head syndrome,MeSH,D000094222,Dropped Head Syndrome
Symptom,drowning,MeSH,D004332,Drowning
Symptom,drug fever,MeSH,D000092582,Drug Fever
Symptom,dumping syndrome,MeSH,D004377,Dumping Syndrome
Symptom,dysarthria,MeSH,D004401,Dysarthria
Symptom,dysbiosis,MeSH,D064806,Dysbiosis
Symptom,dyscalculia,MeSH,D060705,Dyscalculia
Symptom,dysgeusia,MeSH,D004408,Dysgeusia
Symptom,"dyskinesia, drug-induced",MeSH,D004409,"Dyskinesia, Drug-Induced"
Symptom,dyskinesias,MeSH,D020820,Dyskinesias
Symptom,dyslexia,MeSH,D004410,Dyslexia
Symptom,"dyslexia, acquired",MeSH,D004411,"Dyslexia, Acquired"
Symptom,dysmenorrhea,MeSH,D004412,Dysmenorrhea
Symptom,dyspepsia,MeSH,D004415,Dyspepsia
Symptom,dysphonia,MeSH,D055154,Dysphonia
Symptom,dyspnea,MeSH,D004417,Dyspnea
Symptom,"dyspnea, paroxysmal",MeSH,D004418,"Dyspnea, Paroxysmal"
Symptom,dystonia,MeSH,D004421,Dystonia
Symptom,dysuria,MeSH,D053159,Dysuria
Symptom,earache,MeSH,D004433,Earache
Symptom,ecchymosis,MeSH,D004438,Ecchymosis
Symptom,echolalia,MeSH,D004454,Echolalia
Symptom,edema,MeSH,D004487,Edema
Symptom,"edema, cardiac",MeSH,D004489,"Edema, Cardiac"
Symptom,emaciation,MeSH,D004614,Emaciation
Symptom,embryo loss,MeSH,D020964,Embryo Loss
Symptom,emergence delirium,MeSH,D000071257,Emergence Delirium
Symptom,emergencies,MeSH,D004630,Emergencies
Symptom,emotional exhaustion,MeSH,D000097815,Emotional Exhaustion
Symptom,emphysema,MeSH,D004646,Emphysema
Symptom,emphysematous pyelonephritis,MeSH,D000098985,Emphysematous Pyelonephritis
Symptom,empyema,MeSH,D004653,Empyema
Symptom,"empyema, pleural",MeSH,D016724,"Empyema, Pleural"
Symptom,"empyema, subdural",MeSH,D013354,"Empyema, Subdural"
Symptom,"empyema, tuberculous",MeSH,D004654,"Empyema, Tuberculous"
Symptom,encephalocele,MeSH,D004677,Encephalocele
Symptom,"encephalomyelitis, acute disseminated",MeSH,D004673,"Encephalomyelitis, Acute Disseminated"
Symptom,encopresis,MeSH,D004688,Encopresis
Symptom,endoleak,MeSH,D057867,Endoleak
Symptom,endotoxemia,MeSH,D019446,Endotoxemia
Symptom,eosinophilic granuloma,MeSH,D004803,Eosinophilic Granuloma
Symptom,epilepsia partialis continua,MeSH,D017036,Epilepsia Partialis Continua
Symptom,epistaxis,MeSH,D004844,Epistaxis
Symptom,eructation,MeSH,D004884,Eructation
Symptom,erythema,MeSH,D004890,Erythema
Symptom,erythema ab igne,MeSH,D000089965,Erythema Ab Igne
